,sentences,meteor,bleu-4,bleu-1,bleu-2,bleu-3
0,"was person 3 detected by StaticMFCC,having minimum value of 0.1639,,and a maximum value of 0.3388, with a shap value of 2.787 detected as the speaker was detected by SVM,?",0.7919722455599898,0.8708688204832917,0.9735965026187074,0.9415087719298245,0.9210542690786259
1,"person 1 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaMFCC?",0.6688394758326236,0.7139139609544245,0.8528898813021508,0.7239870509607351,0.6597930069930069
2,"person 8 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaDeltaMFCC?",0.6687793428699376,0.7519470940009512,0.8609984559958826,0.7517021720969088,0.7114219114219114
3,"person 5 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaDeltaMFCC?",0.7317499050368219,0.7423513739293186,0.8383015954709213,0.7408834586466165,0.7075757575757575
4,"was person 2 detected by DeltaMFCC with a shap value of -2.988 detected as the speaker was detected by SVM,?",0.6575035790658778,0.8037461131164818,0.9488032754697804,0.8611085535153551,0.8406246307455986
5,"person 2 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by StaticMFCC,having minimum value of -0.1030,,and a maximum value of 0.1426,?",0.7172378846229984,0.8052819832373916,0.9243748592947341,0.8187941812314504,0.7546961325966851
6,"was person 1 detected by StaticMFCC,having minimum value of -0.0809,,and a maximum value of 0.3685, with a shap value of -1.980 detected as the speaker was detected by SVM,?",0.7484015225386513,0.73189734442455,0.9496975609756098,0.9400379506641366,0.9272858344346989
7,"was person 4 detected by StaticMFCC,having minimum value of 0.0254,,and a maximum value of 0.1351, with a shap value of -0.876 detected as the speaker was detected by SVM,?",0.7652161279385057,0.7917241502147425,0.9446332974927824,0.9142176660407696,0.9052228435371708
8,"person 1 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaDeltaMFCC?",0.5998800152031011,0.6961279266241599,0.8985208765970718,0.7823215985700686,0.7282231351981352
9,"was person 4 detected by DeltaDeltaMFCC with a shap value of 2.505 detected as the speaker was detected by SVM,?",0.755157527790545,0.836413043293897,0.9473749716472512,0.9083535036605408,0.8956502540287371
10,"was person 4 detected by DeltaMFCC with a shap value of -2.426 detected as the speaker was detected by SVM,?",0.7260921583272516,0.8464566256724086,0.9522685107100692,0.8991057821604661,0.8838477698771816
11,"person 2 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaDeltaMFCC?",0.5826419120875286,0.6905290911245581,0.897548189154939,0.7853450972392221,0.7224670191742241
12,"person 7 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by StaticGTCC,having minimum value of -0.5859,,and a maximum value of 1.2835,?",0.5876760542221187,0.7482958835395123,0.9421506751817796,0.8219949367981865,0.7661515641114643
13,How was the replayed audio determined by DeltaMFCC with a shap value of 1.127?,0.5602241591080876,0.607027600817285,0.9329774908970541,0.8336519367157665,0.7911753185410474
14,"was person 2 detected by DeltaMFCC with a shap value of -1.490 detected as the speaker was detected by SVM,?",0.7038186419131102,0.8410042134166762,0.9501179730756604,0.8947579560735097,0.877254363283775
15,"How was the replayed audio determined by DeltaLFCC,having minimum value of -0.0850,,and a maximum value of 0.0839, with a shap value of 1.579?",0.6174500826380526,0.7719690970268169,0.9471207418879148,0.8600986493134897,0.8078179918305309
16,"How was the audio sample found to be a bonafide sample by StaticPSRCC,having minimum value of -0.2124,,and a maximum value of 0.2145, with a shap value of -0.391",0.4910174098281936,0.5122991086004924,0.944690034307062,0.8011442670158923,0.7499378844054487
17,"person 8 was detected as the speaker was detected by SVM,  of the audio file was the audio sample detected by DeltaDeltaMFCC?",0.6753986835480998,0.7469630178550604,0.8657859224107536,0.7506996658312447,0.7018825174825174
18,"was person 2 detected by StaticMFCC,having minimum value of -0.0186,,and a maximum value of 0.1206, with a shap value of -1.232 detected as the speaker was detected by SVM,?",0.7496474319527576,0.7573867332071544,0.9922754966887417,0.9753118279569893,0.9626780160419054
